FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Zip Code
334,343,345,336,336,330,329,341,90001
358,368,367,353,352,351,346,355,90002
316,323,328,321,316,313,312,317,90003
378,387,391,380,370,363,357,373,90004
320,328,326,315,313,310,307,309,90005
254,262,262,258,255,253,254,261,90006
298,306,313,305,294,275,276,285,90007
373,381,379,371,360,356,351,351,90008
370,444,490,537,202,328,276,258,90009
466,250,329,362,378,388,382,395,90010
299,309,311,308,302,299,296,304,90011
285,291,283,283,278,273,275,287,90012
256,285,270,330,304,319,328,354,90013
267,281,286,257,301,288,300,340,90014
251,280,276,274,255,262,267,279,90015
338,345,347,341,336,331,329,331,90016
229,227,249,252,244,233,230,236,90017
332,341,345,337,329,325,324,329,90018
338,348,353,345,336,332,331,334,90019
352,360,366,350,341,336,326,340,90020
410,350,420,384,399,404,414,433,90021
329,339,338,335,328,326,324,333,90023
590,602,594,586,558,545,534,551,90024
371,381,388,374,361,354,351,359,90025
306,317,316,313,311,304,296,308,90026
379,388,396,388,376,368,361,380,90027
289,298,305,297,271,281,274,293,90028
269,279,283,278,269,265,261,270,90029
317,324,335,326,320,318,319,334,90031
364,373,385,373,366,360,352,373,90032
269,280,285,280,276,270,267,281,90033
348,355,358,349,336,328,324,328,90034
453,466,472,463,446,435,436,457,90035
391,403,411,402,387,374,374,394,90036
303,311,312,308,301,298,294,299,90037
279,291,294,287,277,276,273,283,90038
417,429,439,428,419,411,407,432,90039
451,459,473,462,448,435,431,457,90041
377,387,397,387,378,368,364,379,90042
371,377,382,371,367,362,356,358,90043
332,336,340,332,325,323,321,326,90044
435,461,470,454,448,439,439,442,90045
546,563,573,742,537,526,516,544,90046
399,406,411,402,395,389,384,386,90047
449,462,468,462,443,437,430,450,90048
851,880,897,876,852,838,830,853,90049
471,486,499,478,476,481,466,451,90056
255,261,258,254,244,241,237,249,90057
273,280,276,273,275,264,262,265,90058
344,348,350,340,343,334,332,341,90059
314,318,326,321,318,314,311,320,90061
362,372,379,368,362,357,354,356,90062
305,313,318,313,308,304,299,310,90063
539,553,564,552,539,522,521,533,90064
399,413,419,413,400,394,390,411,90065
391,402,405,398,393,386,383,382,90066
854,847,849,826,780,770,747,772,90067
617,633,636,627,606,593,576,603,90068
1026,1087,1107,1116,1065,1063,1039,1102,90069
1674,1735,1774,1747,1680,1636,1613,1678,90077
335,347,351,386,385,370,380,391,90094
1915,1982,2030,2033,1949,1896,1899,1944,90210
609,505,626,639,585,565,601,639,90212
368,370,376,372,364,362,358,361,90230
267,281,282,271,259,249,238,243,90232
366,374,380,374,371,363,360,362,90247
446,451,452,443,433,423,419,418,90248
980,1007,1028,1009,994,985,980,1002,90272
204,224,241,264,234,233,479,390,90275
375,386,390,387,385,382,371,368,90291
498,510,488,487,483,467,473,473,90292
478,489,492,479,468,464,455,446,90293
970,989,988,982,983,994,992,989,90402
407,404,640,621,699,588,636,464,90403
375,346,362,371,374,367,426,410,90405
323,329,329,326,323,318,318,321,90501
369,382,386,376,369,356,353,360,90710
410,418,423,412,406,394,384,383,90717
339,347,353,343,341,335,643,337,90731
497,505,518,506,497,482,476,482,90732
327,335,339,337,333,323,325,328,90744
672,689,694,699,660,639,642,685,91040
523,531,538,537,510,499,499,527,91042
404,431,412,400,349,286,317,391,91105
475,531,648,639,624,666,694,764,91205
724,661,718,717,686,691,703,756,91214
921,983,1004,1010,938,868,899,976,91302
449,430,440,453,412,402,421,434,91303
678,685,694,687,645,623,622,662,91304
615,631,634,626,593,569,580,613,91306
855,872,874,868,799,770,775,818,91307
744,799,890,894,825,746,555,524,91309
847,853,858,826,790,763,757,796,91311
756,776,791,767,731,707,705,747,91316
729,751,734,718,683,653,652,662,91324
694,713,719,692,660,629,638,658,91325
885,892,873,848,804,774,750,805,91326
261,262,271,259,221,205,200,221,91330
518,534,545,538,520,513,515,552,91331
549,569,577,568,541,520,538,560,91335
521,539,545,544,530,523,533,568,91340
599,609,611,613,581,569,577,605,91342
596,614,621,601,578,553,568,600,91343
791,819,826,805,771,730,743,775,91344
611,639,643,635,608,588,597,625,91345
528,541,554,550,531,517,521,559,91352
881,916,919,904,857,822,835,866,91356
936,960,962,957,904,876,875,920,91364
743,751,748,749,699,683,688,719,91367
541,562,572,559,538,515,521,549,91401
435,449,456,442,431,424,422,455,91402
666,681,696,672,641,629,628,658,91403
432,450,462,446,429,416,423,450,91405
514,530,540,529,510,490,497,530,91406
457,464,477,466,446,432,435,464,91411
636,653,660,655,620,606,604,636,91423
1318,1353,1380,1305,1280,1215,1197,1279,91436
558,574,577,571,554,530,522,565,91504
383,392,420,408,407,398,416,434,91505
403,402,408,412,394,389,395,413,91601
551,571,582,577,546,536,538,560,91602
699,721,729,708,676,662,663,703,91604
446,466,474,467,455,443,447,480,91605
428,448,457,452,435,419,428,450,91606
551,719,719,719,719,719,719,719,91607
