FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Zip Code
20,21,19,18,15,14,15,10,90001
20,21,19,18,17,16,17,11,90002
21,20,19,19,18,17,17,10,90003
41,42,39,38,35,34,34,18,90004
74,74,67,65,63,63,63,25,90005
47,47,45,44,42,41,41,11,90006
46,50,44,44,41,50,41,12,90007
23,24,23,22,20,19,20,10,90008
138,138,129,128,119,120,119,9,90010
24,24,23,23,21,20,21,11,90011
117,119,107,106,101,102,101,8,90012
59,59,58,58,54,55,57,5,90013
48,48,47,47,47,48,48,10,90015
21,22,20,19,18,18,18,10,90016
160,164,175,176,164,157,154,11,90017
23,23,22,21,19,19,19,10,90018
25,26,24,23,22,21,22,12,90019
98,99,93,90,84,82,82,37,90020
56,54,48,48,43,45,46,21,90021
33,33,30,29,27,27,28,10,90023
76,76,74,72,63,67,68,28,90024
41,42,41,39,35,33,33,11,90025
24,24,23,22,22,20,19,9,90026
49,53,48,47,39,40,41,17,90027
62,61,60,59,55,54,55,10,90028
42,42,40,39,36,35,35,10,90029
27,29,26,25,23,23,23,9,90031
19,19,18,18,16,16,16,10,90032
36,37,34,33,33,32,32,10,90033
30,31,30,28,26,26,26,12,90034
26,26,25,24,22,22,22,14,90035
37,39,36,35,32,33,34,16,90036
28,30,27,27,25,25,25,11,90037
42,43,40,39,35,34,34,10,90038
19,20,19,18,17,16,17,10,90039
18,19,18,17,15,15,15,11,90041
20,21,19,18,17,17,17,9,90042
15,16,15,14,13,13,13,9,90043
19,19,18,17,17,16,16,10,90044
33,35,33,32,27,29,29,12,90045
32,33,32,30,27,27,27,19,90046
13,14,13,13,12,11,11,9,90047
33,34,31,31,29,28,29,14,90048
42,46,43,41,36,35,36,30,90049
19,22,20,18,17,16,17,12,90056
102,103,95,95,91,90,91,9,90057
42,42,34,33,30,27,26,10,90058
22,22,22,20,19,17,17,11,90059
30,29,25,25,26,25,25,11,90061
16,17,16,15,15,14,14,10,90062
18,19,17,17,15,15,16,9,90063
25,27,25,24,21,21,22,14,90064
17,17,16,15,14,14,14,9,90065
20,21,19,18,17,16,17,11,90066
29,33,30,28,25,25,26,17,90068
40,42,40,39,36,35,36,25,90069
45,52,48,46,38,39,39,36,90077
79,79,81,87,86,90,88,9,90094
48,56,53,51,41,40,43,45,90210
37,51,56,55,50,26,42,70,90212
19,20,19,18,16,16,16,9,90230
37,38,38,36,32,31,31,6,90232
25,25,23,22,20,20,20,11,90247
28,27,26,25,20,21,23,10,90248
31,35,32,31,26,26,27,24,90272
12,15,12,11,10,9,9,9,90275
16,17,15,15,14,14,14,9,90291
34,35,35,35,33,32,33,9,90292
44,41,38,37,34,35,37,13,90293
14,15,14,12,11,11,12,12,90305
23,24,22,22,19,19,20,20,90402
6,7,7,6,7,6,7,7,90405
27,28,26,25,24,23,23,11,90501
26,27,26,25,24,23,24,11,90710
21,21,20,19,18,18,17,12,90717
31,29,35,34,24,22,23,10,90731
26,28,25,24,21,21,22,12,90732
70,79,84,83,73,74,66,11,90744
26,28,25,24,19,19,20,16,91040
20,21,20,18,16,15,16,12,91042
23,26,24,23,17,16,18,18,91214
62,66,58,65,55,52,44,36,91302
35,38,36,35,31,31,32,14,91303
35,38,36,34,28,28,29,20,91304
24,25,24,22,19,19,20,15,91306
24,26,25,23,18,18,20,18,91307
18,19,17,14,13,13,13,12,91309
38,42,39,37,30,30,32,23,91311
47,52,50,49,41,41,44,26,91316
37,40,37,35,30,30,31,22,91324
42,47,44,41,35,34,36,24,91325
32,36,33,31,25,25,27,21,91326
25,27,25,24,21,21,22,15,91331
25,27,25,24,21,20,21,14,91335
25,26,24,23,19,19,19,14,91340
32,36,34,32,27,26,36,16,91342
33,35,33,31,27,26,27,17,91343
28,31,29,27,22,21,23,20,91344
27,30,27,25,21,20,23,15,91345
39,42,41,40,32,31,35,15,91352
49,55,51,48,40,40,42,33,91356
32,36,32,30,25,25,26,22,91364
39,43,41,38,32,32,35,24,91367
29,31,29,28,24,24,25,16,91401
39,41,39,37,34,33,33,14,91402
31,35,32,31,26,26,27,20,91403
38,39,37,36,32,31,32,14,91405
53,55,45,43,37,35,35,14,91406
31,33,31,29,27,26,28,15,91411
31,34,32,30,26,26,27,20,91423
39,44,42,39,32,32,34,32,91436
39,42,41,39,34,33,34,14,91504
25,26,26,25,20,19,20,13,91505
27,29,27,26,24,24,24,13,91601
36,40,37,35,31,31,32,21,91602
34,36,34,32,29,29,29,21,91604
29,31,28,27,23,23,24,14,91605
30,31,29,27,24,23,24,14,91606
32,34,31,29,26,26,27,18,91607
