"","Zip.Code","Total.Population","Median.Age","Total.Males","Total.Females","Total.Households","Average.Household.Size","Water_FY.05.06","Water_FY.06.07","Water_FY.07.08","Water_FY.08.09","Water_FY.09.10","Water_FY.10.11","Water_FY.11.12","Water_FY.12.13","Energy_FY.05.06","Energy_FY.06.07","Energy_FY.07.08","Energy_FY.08.09","Energy_FY.09.10","Energy_FY.10.11","Energy_FY.11.12","Energy_FY.12.13"
"1",90001,57110,26.6,28468,28642,12971,4.4,20,21,19,18,15,14,15,10,334,343,345,336,336,330,329,341
"2",90002,51223,25.5,24876,26347,11731,4.36,20,21,19,18,17,16,17,11,358,368,367,353,352,351,346,355
"3",90003,66266,26.3,32631,33635,15642,4.22,21,20,19,19,18,17,17,10,316,323,328,321,316,313,312,317
"4",90004,62180,34.8,31302,30878,22547,2.73,41,42,39,38,35,34,34,18,378,387,391,380,370,363,357,373
"5",90005,37681,33.9,19299,18382,15044,2.5,74,74,67,65,63,63,63,25,320,328,326,315,313,310,307,309
"6",90006,59185,32.4,30254,28931,18617,3.13,47,47,45,44,42,41,41,11,254,262,262,258,255,253,254,261
"7",90007,40920,24,20915,20005,11944,3,46,50,44,44,41,50,41,12,298,306,313,305,294,275,276,285
"8",90008,32327,39.7,14477,17850,13841,2.33,23,24,23,22,20,19,20,10,373,381,379,371,360,356,351,351
"9",90009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,444,490,537,202,328,276,258
"10",90010,3800,37.8,1874,1926,2014,1.87,138,138,129,128,119,120,119,9,466,250,329,362,378,388,382,395
"11",90011,103892,26.2,52794,51098,22168,4.67,24,24,23,23,21,20,21,11,299,309,311,308,302,299,296,304
"12",90012,31103,36.3,19493,11610,10327,2.12,117,119,107,106,101,102,101,8,285,291,283,283,278,273,275,287
"13",90013,11772,44.6,7629,4143,6416,1.26,59,59,58,58,54,55,57,5,256,285,270,330,304,319,328,354
"14",90014,7005,44.8,4471,2534,4109,1.34,NA,NA,NA,NA,NA,NA,NA,NA,267,281,286,257,301,288,300,340
"15",90015,18986,31.3,9833,9153,7420,2.45,48,48,47,47,47,48,48,10,251,280,276,274,255,262,267,279
"16",90016,47596,33.9,22778,24818,16145,2.93,21,22,20,19,18,18,18,10,338,345,347,341,336,331,329,331
